Percent Down 90,Avg. Price 90,Percent Down 365,Avg. Price 365,Price Now,Price Now Source,Deal found,AMZ link,Keepa Link,Title,last update,last price change,Sales Rank - Reference,Reviews - Rating,Reviews - Review Count,FBA Pick&Pack Fee,Referral Fee %,Tracking since,Categories - Root,Categories - Sub,Categories - Tree,ASIN,Freq. Bought Together,Type,Manufacturer,Brand,Product Group,Variation Attributes,Item Type,Author,Contributors,Binding,Number of Items,Number of Pages,Publication Date,Languages,Package - Quantity,Package Weight,Package Height,Package Length,Package Width,Listed since,Edition,Release Date,Format,Sales Rank - Current,Sales Rank - 30 days avg.,Sales Rank - 60 days avg.,Sales Rank - 90 days avg.,Sales Rank - 180 days avg.,Sales Rank - 365 days avg.,Sales Rank - Lowest,Sales Rank - Lowest 365 days,Sales Rank - Highest,Sales Rank - Highest 365 days,Sales Rank - Drops last 30 days,Sales Rank - Drops last 60 days,Sales Rank - Drops last 90 days,Sales Rank - Drops last 180 days,Sales Rank - Drops last 365 days,Buy Box - Current,Buy Box - 30 days avg.,Buy Box - 60 days avg.,Buy Box - 90 days avg.,Buy Box - 180 days avg.,Buy Box - 365 days avg.,Buy Box - Lowest,Buy Box - Lowest 365 days,Buy Box - Highest,Buy Box - Highest 365 days,Buy Box - 90 days OOS,Buy Box - Stock,Amazon - Current,Amazon - 30 days avg.,Amazon - 60 days avg.,Amazon - 90 days avg.,Amazon - 180 days avg.,Amazon - 365 days avg.,Amazon - Lowest,Amazon - Lowest 365 days,Amazon - Highest,Amazon - Highest 365 days,Amazon - 90 days OOS,Amazon - Stock,New - Current,New - 30 days avg.,New - 60 days avg.,New - 90 days avg.,New - 180 days avg.,New - 365 days avg.,New - Lowest,New - Lowest 365 days,New - Highest,New - Highest 365 days,New - 90 days OOS,New - Stock,"New, 3rd Party FBA - Current","New, 3rd Party FBA - 30 days avg.","New, 3rd Party FBA - 60 days avg.","New, 3rd Party FBA - 90 days avg.","New, 3rd Party FBA - 180 days avg.","New, 3rd Party FBA - 365 days avg.","New, 3rd Party FBA - Lowest","New, 3rd Party FBA - Lowest 365 days","New, 3rd Party FBA - Highest","New, 3rd Party FBA - Highest 365 days","New, 3rd Party FBA - 90 days OOS","New, 3rd Party FBA - Stock","New, 3rd Party FBM - Current","New, 3rd Party FBM - 30 days avg.","New, 3rd Party FBM - 60 days avg.","New, 3rd Party FBM - 90 days avg.","New, 3rd Party FBM - 180 days avg.","New, 3rd Party FBM - 365 days avg.","New, 3rd Party FBM - Lowest","New, 3rd Party FBM - Lowest 365 days","New, 3rd Party FBM - Highest","New, 3rd Party FBM - Highest 365 days","New, 3rd Party FBM - 90 days OOS","New, 3rd Party FBM - Stock",Buy Box Used - Current,Buy Box Used - 30 days avg.,Buy Box Used - 60 days avg.,Buy Box Used - 90 days avg.,Buy Box Used - 180 days avg.,Buy Box Used - 365 days avg.,Buy Box Used - Lowest,Buy Box Used - Lowest 365 days,Buy Box Used - Highest,Buy Box Used - Highest 365 days,Buy Box Used - 90 days OOS,Buy Box Used - Stock,Used - Current,Used - 30 days avg.,Used - 60 days avg.,Used - 90 days avg.,Used - 180 days avg.,Used - 365 days avg.,Used - Lowest,Used - Lowest 365 days,Used - Highest,Used - Highest 365 days,Used - 90 days OOS,Used - Stock,"Used, like new - Current","Used, like new - 30 days avg.","Used, like new - 60 days avg.","Used, like new - 90 days avg.","Used, like new - 180 days avg.","Used, like new - 365 days avg.","Used, like new - Lowest","Used, like new - Lowest 365 days","Used, like new - Highest","Used, like new - Highest 365 days","Used, like new - 90 days OOS","Used, like new - Stock","Used, very good - Current","Used, very good - 30 days avg.","Used, very good - 60 days avg.","Used, very good - 90 days avg.","Used, very good - 180 days avg.","Used, very good - 365 days avg.","Used, very good - Lowest","Used, very good - Lowest 365 days","Used, very good - Highest","Used, very good - Highest 365 days","Used, very good - 90 days OOS","Used, very good - Stock","Used, good - Current","Used, good - 30 days avg.","Used, good - 60 days avg.","Used, good - 90 days avg.","Used, good - 180 days avg.","Used, good - 365 days avg.","Used, good - Lowest","Used, good - Lowest 365 days","Used, good - Highest","Used, good - Highest 365 days","Used, good - 90 days OOS","Used, good - Stock","Used, acceptable - Current","Used, acceptable - 30 days avg.","Used, acceptable - 60 days avg.","Used, acceptable - 90 days avg.","Used, acceptable - 180 days avg.","Used, acceptable - 365 days avg.","Used, acceptable - Lowest","Used, acceptable - Lowest 365 days","Used, acceptable - Highest","Used, acceptable - Highest 365 days","Used, acceptable - 90 days OOS","Used, acceptable - Stock",List Price - Current,List Price - 30 days avg.,List Price - 60 days avg.,List Price - 90 days avg.,List Price - 180 days avg.,List Price - 365 days avg.,List Price - Lowest,List Price - Lowest 365 days,List Price - Highest,List Price - Highest 365 days,List Price - 90 days OOS,List Price - Stock,New Offer Count - Current,New Offer Count - 30 days avg.,New Offer Count - 60 days avg.,New Offer Count - 90 days avg.,New Offer Count - 180 days avg.,New Offer Count - 365 days avg.,Used Offer Count - Current,Used Offer Count - 30 days avg.,Used Offer Count - 60 days avg.,Used Offer Count - 90 days avg.,Used Offer Count - 180 days avg.,Used Offer Count - 365 days avg.
82%,-,-,-,-,-,2025-05-27 19:36:00,https://www.amazon.com/dp/0819875449,https://keepa.com/#!product/1-0819875449,The Sword and the Cape,2025-05-27 21:52:00,2025-05-23 02:12:00,-,-,-,-,-,2018-11-17,Books,-,Books > Subjects,"=""0819875449""",-,-,Pauline Books and Media,-,-,-,-,Pamela Love,-,Paperback,-,-,-,-,-,0.09 kg,1.6 cm,19.0 cm,15.9 cm,2018-02-01,-,-,-,"1,230,707","1,538,696",-,"1,915,335","3,841,424","2,690,598",-,-,-,-,2,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$21.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
81%,-,-,-,-,-,2025-05-27 04:44:00,https://www.amazon.com/dp/9708102067,https://keepa.com/#!product/1-9708102067,QUIEN TE LLORARA CUANDO MUERAS,2025-05-27 21:52:00,2025-03-21 22:00:00,-,-,-,-,-,2016-02-21,Books,-,Books > Subjects,"=""9708102067""",-,-,Debolsillo,-,-,-,-,"SHARMA,ROBIN S.",-,Paperback,-,-,-,-,-,0.16 kg,1.6 cm,18.8 cm,12.4 cm,2012-07-29,-,-,-,"1,388,762","3,620,914",-,"2,709,548","2,699,725","2,461,193",-,-,-,-,1,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$22.40,-,-,-,-,-,-,-,-,-,-,-,$35.00,-,-,-,-,-,-,-,-,-,-,-,$703.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80%,-,-,-,-,-,2025-05-27 22:00:00,https://www.amazon.com/dp/0486401979,https://keepa.com/#!product/1-0486401979,Samson et Dalila in Full Score (Dover Music Scores) (French and German Edition),2025-05-27 22:12:00,2020-04-04 10:48:00,-,-,-,-,-,2011-04-10,Books,"Arts & Photography, Music, Musical Genres, Classical",Books > Subjects > Arts & Photography > Music > Musical Genres > Classical,"=""0486401979""",-,-,Dover Publications,-,-,-,-,"Saint-Saëns, Camille",-,Paperback,-,-,-,-,-,1.18 kg,2.7 cm,28.4 cm,21.4 cm,-,-,-,-,"1,206,728","6,538,337",-,"7,116,917","7,069,700","6,272,566",-,-,-,-,2,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$21.94,-,-,-,-,-,-,-,-,-,-,-,$39.95,-,-,-,-,-,-,-,-,-,-,-,$35.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79%,-,-,-,-,-,2025-05-27 16:24:00,https://www.amazon.com/dp/0671415298,https://keepa.com/#!product/1-0671415298,Dressing Sexy: Simple Tips for a Total Look That Makes Conversations Stop and Heads Turn (A Fireside Book),2025-05-27 22:00:00,2021-03-04 20:48:00,-,-,-,-,-,2016-11-28,Books,-,Books > Subjects,"=""0671415298""",-,-,Simon & Schuster,-,-,-,-,Barbara Burgdorf,-,Paperback,-,-,-,-,-,0.20 kg,1.0 cm,20.8 cm,13.5 cm,-,-,-,-,"528,711","4,892,241",-,"4,298,248","4,885,504","4,734,196",-,-,-,-,1,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$23.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79%,-,-,-,-,-,2025-05-25 12:56:00,https://www.amazon.com/dp/0941975320,https://keepa.com/#!product/1-0941975320,New Creation Image - Knowing Who Your Are in Christ,2025-05-27 22:00:00,2023-09-14 03:48:00,-,-,-,-,-,2016-04-01,Books,"Religion & Spirituality, New Age & Spirituality, Inspirational",Books > Subjects > Religion & Spirituality > New Age & Spirituality > Inspirational,"=""0941975320""",-,-,"Powerhouse Publishing (Big Bear Lake, CA)",-,-,-,-,A. L. Gill,-,Paperback,-,-,-,-,-,0.27 kg,1.5 cm,27.4 cm,21.1 cm,-,-,-,-,"975,786","3,673,390",-,"3,701,549","3,325,560","3,423,342",-,-,-,-,1,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$22.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79%,-,-,-,-,-,2025-05-27 06:32:00,https://www.amazon.com/dp/1616890622,https://keepa.com/#!product/1-1616890622,Citizens of No Place: An Architectural Graphic Novel,2025-05-27 22:00:00,2024-10-29 16:44:00,-,-,-,-,-,2012-04-16,Books,"Arts & Photography, Drawing",Books > Subjects > Arts & Photography > Drawing,"=""1616890622""",-,-,Princeton Architectural Press,-,-,-,-,"Lai, Jimenez",-,Paperback,-,-,-,-,-,0.31 kg,1.6 cm,25.2 cm,19.2 cm,2011-09-02,-,-,-,"893,945","1,598,303",-,"1,963,262","1,904,219","1,673,115",-,-,-,-,2,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$22.90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$80.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$176.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78%,-,-,-,-,-,2025-05-27 21:16:00,https://www.amazon.com/dp/0073529591,https://keepa.com/#!product/1-0073529591,Principles and Applications of Electrical Engineering,2025-05-27 22:02:00,2025-05-25 15:16:00,-,-,-,-,-,2015-06-23,Books,"Engineering & Transportation, Engineering, Electrical & Electronics",Books > Subjects > Engineering & Transportation > Engineering > Electrical & Electronics,"=""0073529591""",-,-,McGraw Hill,-,-,-,-,"Rizzoni, Giorgio",-,Hardcover,-,-,-,-,-,1.99 kg,4.3 cm,26.9 cm,21.1 cm,2012-10-12,-,-,-,"1,109,189","1,108,235",-,"1,053,184","915,569","831,766",-,-,-,-,0,-,-,-,92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$254.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$25.00,-,-,-,-,-,-,-,-,-,-,-,$267.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$99.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77%,-,-,-,-,-,2025-05-27 22:02:00,https://www.amazon.com/dp/1848638930,https://keepa.com/#!product/1-1848638930,Wylding Hall,2025-05-27 22:04:00,2025-05-24 20:48:00,-,-,-,-,-,2015-10-27,Books,-,Books > Subjects,"=""1848638930""",-,-,PS Publishing,-,-,-,-,Elizabeth Hand,-,Hardcover,-,-,-,-,-,0.34 kg,1.8 cm,21.9 cm,15.7 cm,2015-08-26,-,-,-,"443,445","1,272,872",-,"1,148,101","1,200,262","924,203",-,-,-,-,1,-,-,-,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$100.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$25.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$44.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76%,-,-,-,-,-,2025-05-25 11:20:00,https://www.amazon.com/dp/1507622465,https://keepa.com/#!product/1-1507622465,Choir Karate:: A Sequential Assessment Program for Middle School Singers,2025-05-27 19:18:00,2025-05-05 23:48:00,-,-,-,-,-,2016-09-28,Books,"Education & Teaching, Schools & Teaching, Instruction Methods, Arts & Humanities",Books > Subjects > Education & Teaching > Schools & Teaching > Instruction Methods > Arts & Humanities,"=""1507622465""",-,-,CreateSpace Independent Publishing Platform,-,-,-,-,"Owens, Lisa E",-,Paperback,-,-,-,-,-,0.26 kg,0.5 cm,27.9 cm,21.6 cm,2015-01-22,-,-,-,"1,155,419","963,568",-,"1,116,971","1,055,073","982,849",-,-,-,-,2,-,-,-,68,$48.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$46.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$30.00,-,-,-,-,-,-,-,-,-,-,-,$48.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76%,-,-,-,-,-,2025-05-27 16:28:00,https://www.amazon.com/dp/B0010V4UAE,https://keepa.com/#!product/1-B0010V4UAE,Tour 2007,2025-05-27 22:02:00,2025-04-15 02:40:00,-,-,-,-,-,2011-05-06,Books,-,Books > Subjects,"=""B0010V4UAE""",-,-,Abilio Silva E Semanas Lda,-,-,-,-,Heroes del Silencio,-,Audio CD,-,-,-,-,-,0.08 kg,1.4 cm,14.1 cm,12.6 cm,-,-,-,-,"528,862","5,363,557",-,"5,265,914","5,111,282","4,461,947",-,-,-,-,1,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$119.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$21.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
